CCR,response,actual,Prediction
"The name should have -configurer, eg -component-configurer","That would introduce a discrepancy between the name of the property file and the name used for the registration of the service in the Camel registry. That would in turn require special code for registering the configurers in Camel Quarkus, which I think we'd like to avoid ( cc @lburgazzoli ?) So if you really want the registry name to have the `-configurer` suffix, could we please also rename the property files?",1,1
can we group those under `toc` or `tableOfContents` object?,fixed in new commit,1,1
We want to check that the service call reaches the grouped entities. So we can't mock out the service.,I failed to create a working test. Implementing `stop` support for demo players is easier. There is a PR: https://github.com/home-assistant/core/pull/50485 I will push a fixed test after PR merge.,1,1
"We should be able to provide options in any order.  Please process combination of options (`--validate` and `--daemon`) after the loop has completed.

Also, currently only the following (somewhat counterintuitive order) is supported:

```
$ ozone --validate classpath ozone-manager
Validating classpath file: hadoop-ozone/dist/target/ozone-1.3.0-SNAPSHOT/share/ozone/classpath/ozone-manager.classpath
...
```

The following commands should also be supported, but are currently failing:

```
$ ozone classpath ozone-manager --validate
unrecognized option
[main] INFO util.ExitUtil: Exiting with status 1: unrecognized option

$ ozone classpath --validate ozone-manager
ERROR: Classpath file descriptor hadoop-ozone/dist/target/ozone-1.3.0-SNAPSHOT/share/ozone/classpath/--validate.classpath is missing
```","Made changes to support ordering among the options: `ozone --validate [continue] --daemon start om` and `ozone --daemon start --validate [continue] om`, thanks!",0,0
Why do we need this variable? Can't we use `this.props` directly?,"I use it just to instantiate a `Properties` in `@Before`, which I then assign to `this.props`, in order to avoid having to do it in each test, because the same properties are used for all tests. Should I do it in the tests instead?",1,1
Shouldn't you remove 'magic' from the dictionary above?,I supposed I could.,1,1
Logging the exception would be nice (debug level might be ok if it happens normally; otherwise warn level maybe),done,0,1
Copyright is copyright. Please don't combine it with other comments.,Fixed.,0,0
This file should not be deleted,"can I make individual PRs for each changes, so that it will be easy for you and me to track the changes?",0,0
This needs to be a bool,ahh cant believe I missed that!,1,1
I think we do not need create a new class `WindowHelper` all those defined can be placed into `winodws.scala` What do you think?,Make sense!,1,1
"Can we find a native, non-hamcrest, assertj equivalent?",I actually noticed just now that this method can also take a configuration that allows us to ignore the order :),0,1
nit: invert to Aligned to save space?,"you sure...? The meaning of ""Aligned"" is ambiguous, and I do not think it is straightforward for users that ""Aligned"" means ""not completed as an unaligned checkpoint""?",1,1
untabify,untabify,0,0
"I suspect that this will be just one of several things that this upgrade will perform. It might be better to rename this to something more broadly applicable, such as `REMOVE_DEPRECATIONS_FOR_VERSION_3`. Can always enumerate the details in the javadoc, if desired.",Changed in b3ca1d9b65,1,1
" We should add tests that input split comes from input spilt's num > 1 file so we can cover the  `findNextLegalSeparator` ?
eg：
		FileInputSplit split1 = new FileInputSplit(0, split.getPath(), 0, split.getLength() / 2, split.getHostnames());
		FileInputSplit split2 = new FileInputSplit(1, split.getPath(), split1.getLength(), split.getLength(), split.getHostnames());",`RowCsvInputFormatSplitTest`?,1,1
"Parse the version without using `packaging`, since it is not part of the Python standard library.

You could probably use this function:

https://github.com/ansible/ansible/blob/13aef3c2e591631440830b6a023e90292a11392b/test/lib/ansible_test/_internal/util.py#L868-L870

However, that will need to be backported as well.","I didn't know that function existed. I thought about writing something very similar to it, but wasn't sure what would happen if there was a ""weird"" version (like `5.4.0b1` or something) which `packaging.version` seems to handle. It looks like pytest only uses standard versioning, so I suppose it will be okay here.",0,0
"Because the read and write operation at the same place, should we just use a `replicateThrottle` to control them is enough?",@zymap  PTAL again,1,1
shall we follow the API as discussed on the design doc?,"As discussed offline, we want to give users the impression that collect merely collects the rows, and will not be written to the segment until flush. Hence, better to call this collect",1,1
why equals but not ==?,"I'm comparing `Long` object not primitive so equals() needed to compare value, == comparison will check the object references are equal not value ",1,1
Such original tests are testing the no proxy cases. I would either set the new boolean on all non-proxy cases to false or test both proxy and non-proxy cases (true + false too) to be 100% sure that the original behavior is covered. It's your choice. Since we're under time pressure I would vote on the first.,Addressed it.,0,0
"Could this construction be changed to a class instead, or does that not work?

```javascript
class ChunkedStreamSubstream extends ChunkedStream {
  constructor() {}

  getMissingChunks() {
    ...
  }
}","I tried this, but I couldn't get it to work. I think it has something to do with extending the class that you're in.",1,1
"This syntax can be documented formally as

```markdown
* `callback` Function (optional)
  * `success` Boolean - Indicates success of the print call
```",thx,0,1
This should probably be removed or changed to debug or info level so it doesn't show up in the logs by default.,Whoops! Was debugging and accidentally left that in.  Thanks for catching that!,0,1
Remove all the secret = false as that is the default and just clutter up the code,fixed,0,0
please make it final,variable readExtraSize is reinitialized at line number 93.  So I think it cannot be marked final.,0,0
"Mayb a Map<LogicTableMetaData, ActualTableMetaData> is a concise variable to build? So that we can remove `TableMetaDatas` and `Map<Map<String, TableMetaData>, Map<String, TableMetaData>>`.","Yeah, then I think it's fine. I'll fix him.",1,1
should not remove this.,get,1,1
