project,pull,author,reviewer,CCR,Prediction,Merge
ignite,6976,alamar,agura,Please add imports for `HashMap` and `TreeMap` or use fully qualified name.,0,False
hadoop,2166,bshashikant,ayushtkn,"Can get `pc` out of `fsn` lock and pass on from `FsNamesystem` by getting before taking lock, Would save lock retention time, the FsDirectory lock below is just dummy just asserts whether FSN lock is there or not",1,True
iotdb,18,MyXOF,lanking520,I would recommend to file the problem as an issue. Committers will be able to add labels to identify it as a bug not.,0,True
flink,4559,zhijiangW,pnowojski,rename `backlog` to `buffersInBacklog`/`accumulatedBuffers`/`backloggedBuffers`?,1,False
flink,17994,MonsterChenzhuo,ruanhang1993,scan.bounded.stop-offsets,0,False
nifi,3817,sjyang18,markap14,Probably best to cleanup spacing here - we don't generally adhere to practices of column-aligning declarations in the NiFi codebase.,0,False
hive,588,maheshk114,sankarh,upgrade tool is not the right term. It should be HiveStrictManagedMigration tool.,1,False
flink,11408,azagrebin,tillrohrmann,"```suggestion
			// triggers loading needed classes
```",0,False
druid,4445,dgolitsyn,segmentationtree,"Line 626:628, collection type can be auto inferred. ",0,True
iotdb,101,fanhualta,jt2594838,I think it may be more efficient if you implement a comparator and just call `sort()`.,1,True
bookkeeper,1045,reddycharan,eolivelli,"This name is really generic.

another, more important piint, I think it would be better to use mockito based suite, you so not need a real cluster to test this methods",1,False
hudi,4175,rmahindra123,xushiyan,"
```suggestion
  @BeforeEach
  public void setUp() throws IOException {
```

OR did you mean to use `@BeforeAll` ?
",1,True
beam,10375,boyuanzz,lukecwik,"```suggestion
    Otherwise, returns the SDFs restriction_coder.
```",0,True
nifi,5460,pvillard31,gresockj,"I think the important part to add is that it only works on a Compute Engine instance, because if you try ""Use Application Default Credentials"" without running on Compute, it still fails.",1,False
beam,13028,milantracy,lostluck,"```suggestion
		return nil, errors.Errorf(""unexpected windowing strategy: %v"", w)
```",0,True
dolphinscheduler,6322,yc322,ruanwenjun,Add private,0,True
phoenix,699,nsgupta1,abhishek-chouhan,"We're throwing this exception if none of the cases cover this mutation code, right? The exception message is incoorect in that case, since we're not creating mutation code. ",1,False
beam,15742,benWize,TheNeuralBit,Can we just remove `idGenerator`?,1,False
pulsar,10685,RobertIndie,zymap,Collections.singletonList(provider.authenticate(authenticationDataSource)));,1,False
beam,26444,pranavbhandari24,kennknowles,why suppressed?,1,False
geode,3960,mhansonp,demery-pivotal,See if there's a way to test this.,1,True
flink,15599,galenwarren,xintongsong,Same here for the inner classes.,0,False
beam,10612,Hannah-Jiang,ibzib,"```suggestion
  /** Provides docker image default repo prefix (beam_). */
```",0,True
hive,1726,omalley,pgaref,Unused variable,1,True
camel,3682,djoleB,davsclaus,Remove import not used,0,False
druid,7804,mcbrewster,vogievetsky,if you do not need to get the disabled datasources then why make this query at all?,1,True
samza,603,prateekm,cameronlee314,"This comment actually refers to the line above (line 216), but I couldn't add a comment there:
Should the reference to ""job.default.system"" get updated to refer to setDefaultSerde?",1,False
pulsar,3605,jiazhai,sijie,@jiazhai it seems you are adding `diff.patch` by mistake?,1,True
seatunnel,5570,xiaofan2022,TyrantLucifer,"```suggestion
| db_num         | int    | no                    | 0            |
```",1,True
cassandra,2073,belliottsmith,iamaleksey,This is just `bytes.length` with some extra indirection?,1,True
flink,15884,rmetzger,tillrohrmann,Why did you introduce this `checkState`? Wouldn't this be caught by the `Executing` state?,1,False
logging-log4j2,428,wuqian0808,vy,"Magical numbers in the tests, e.g., 5 here, have strong potential to bite us in the back later on. Would you mind revising this test as follows, please?

```java
@Test
void test_kafka_producer_threads_are_not_leaking_after_context_restart() {

    // Determine the initial number of threads.
    final LoggerContext context = ctx.getLoggerContext();
    final int initialThreadCount = kafkaProducerThreadCount();

    // Perform context restarts.
    final int contextRestartCount = 3;
    for (int i = 0; i < contextRestartCount; i++) {
        context.getContext(false).reconfigure();
    }

    // Verify the final thread count.
    final int lastThreadCount = kafkaProducerThreadCount();
    assertThat(lastThreadCount).equalsTo(initialThreadCount);

}

private static int kafkaProducerThreadCount() {
    // Return the number of threads prefixed with ""kafka-producer"".
}
```
Note that,
- This is sort of a pseudo-code I jotted in the comment box, hence you need to fill it in yourself.
- Try to use JUnit 5, if possible. (You can see examples in the source code.)",1,False
shardingsphere,13046,gitaroktato,tuichenchuxin,Class doc is missing.,1,True
gobblin,3172,ZihanLi58,autumnust,Make sure all mention of `dali` / `linkedin` is removed.,1,False
geode,7392,nonbinaryprogrammer,DonalEvans,"This name is slightly inaccurate, since in the case that the reference value doesn't exist, we return -1, which is not the number of entries in the list. A better name might just be ""result"".",1,True
phoenix,696,sguggilam,ChinmaySKulkarni,Most backward compatibility issues we found during the 4.15 release were related to old clients unable to perform DDL operations once the cluster was upgraded or old clients unable to query views/indexes/view indexes created by a new clients. Can we add more tests like that?,1,False
flink,3118,wuchong,twalthr,I had a look into the generated code. It seems that the `TableFunctionCollector` contains another `TableFunctionCollector` instance variable.,1,False
flink,13907,zhuxiaoshang,zhisheng17,"It's seem this method is useless now? If no one uses it, please delete it. Otherwise, we can just treat this method as
`of(outputFormat, null)`",1,True
skywalking,7691,chenyi19851209,wu-sheng,"```suggestion
| - | - | maxSizeOfBatchSql | The maximum size of batch size of SQL execution | SW_STORAGE_MAX_SIZE_OF_BATCH_SQL | 100 |
```

Please apply this to other comments and documents too.",0,True
systemds,526,j143-zz,dusenberrymw,"rename `g_w0`, `g_W`, & `g_V` to `dw0`,  `dW`, & `dV`, which will come from step 8 above.  `dX` will also be returned by step 8, but we won't optimize it here since it is the input data (but in a different scenario with convnets we could optimize the input image for things like deep dream....).",0,False
gobblin,2737,autumnust,htran1,Check that added column is null?,1,False
flink,18427,slinkydeveloper,twalthr,use `else if` here,1,False
kafka,11565,akatona84,urbandan,"nit: I know this was copied over from the old method, but this doesn't seem accurate, can you please fix it?",1,True
druid,8748,SEKIRO-J,ccaominh,Is this for debugging?,1,True
incubator-kie-optaplanner,938,Christopher-Chianelli,triceo,"```suggestion
    /* 
       Correct the double counting
       Explanation: groupBy is like accumulate, but it doesn't trigger on empty streams.
       We need something like
        .accumulate(Function<ConstraintStream, UniConstraintStream<T>>, T defaultValue): ConstraintStream+1
       To change it from 3 separate constraints (one for the normal case, one in the case of empty stream,
       one to remove double counting).
     */
```",0,True
incubator-hugegraph,919,zhoney,javeme,align,1,True
gobblin,2631,jack-moseley,jhsenjaliya,"same question as above, should this be same as `SpecSerDe.deserialize` ?",1,False
hadoop,4354,zhengchenyu,goiri,"make path a field, pass in the methodpath in its constructor. i want to be able to run multiple hadoop-aws test runs in the same bucket ASAP.",0,False
accumulo,3400,ivakegg,EdColeman,"You might consider adding a comment in the file what makes it ""bad""",1,True
flink,14238,rmetzger,XComp,"```suggestion
- **Important** Make sure that the `HADOOP_CLASSPATH` environment variable is set up (it can be checked by running `echo $HADOOP_CLASSPATH`). If not, set it up using 
```",0,False
flink,8362,azagrebin,tillrohrmann,"Usually static functions go to the bottom of the class. The order is roughly

```
Static fields;
Field;
Constructors;
Methods;
Static functions;
```",1,False
shardingsphere,8289,guojia1698,terrymanu,Cloud you use Iterator instead of cast list?,1,True
beam,24865,alexeyinkin,Malarg,rename to `icon` and make parameter named?,1,True
flink,8741,knaufk,1u0,"> Without high-availability configuration, the JobID **needs to change upon restarts of the Job Cluster Pod**.

Is it really needed? Or is it recommended?
My understanding, that with proposed `--job-id-seed` and without HA things still should work (with having multiple Flink jobs as Standalone Job clusters in one Kubernetes namespace).",1,False
hudi,5077,codope,alexeykudinkin,We don't need this conditional,1,False
hudi,331,n3nash,vinothchandar,nit: rename to `currentVersion`,0,True
gobblin,3681,homatthew,ZihanLi58,Can we use string.format() to construct this string?,1,True
beam,10115,y1chi,lukecwik,"```suggestion
  string id = 1;
```",1,True
flink,11109,azagrebin,tillrohrmann,I think we can remove on `memorySize` here.,1,False
beam,16929,AnandInguva,tvalentyn,dest_to_flags,0,True
beam,11360,DariuszAniszewski,aromanenko-dev,Add ASF license header,0,True
pulsar,11555,frankxieke,Anonymitaet,Pls add a period at the end of the sentence.,0,False
shardingsphere,25787,azexcy,sandynz,Could `getLastNormalRecord` method be removed in `RecordUtils`?,1,True
cassandra,570,bereng,adelapena,Nit: this seems to have missed alignment with an extra tab,1,False
nifi,3344,szaboferee,ijokarumawak,Please add 'mime.type' attribute as 'application/json',0,False
cassandra-java-driver,1102,GregBestland,adutra,"This is a very tight loop, you should at least sleep a little bit at each iteration. Or better yet, replace with:

``` 
    checkThat(() -> simulacronRule.cluster().getConnections().getConnections().isEmpty())
        .before(1, SECONDS)
        .becomesTrue();
``` ",0,True
geode,761,pivotal-amurmann,kohlmu-pivotal,"System.getProperty(CLIENT_HEALTH_MONITOR_INTERVAL_PROPERTY,DEFAULT_CLIENT_MONITOR_INTERVAL)
",0,True
beam,24271,pabloem,damondouglas,"Is it possible to add the following support methods?  I advocate that removing the embedded checks in this method allows these to be independently tested.  First, the following shows how `beamSchemaFromJsonSchema` might look with the proposed overloaded support methods.  Then, some of the support methods follow.  To avoid the instanceof checks, I tried to find in the libraries [Javadoc](https://erosb.github.io/everit-json-schema/javadoc/1.12.2/), whether the base [Schema](https://erosb.github.io/everit-json-schema/javadoc/1.12.2/org/everit/json/schema/Schema.html) had a `getType()` getter but it seems not.  Perhaps we could have a `Map<Class<T extends org.everit.json.schema.Schema>, Function<T extends org.everit.json.schema.Schema, Schema.Field>>` that maps a particular json Schema class to the Java function that converts to the Schema.Field.

```
Schema.Builder beamSchemaBuilder = Schema.builder()
for (String propertyName : jsonSchema.getPropertySchemas().keySet()) {
    org.everit.json.schema.Schema propertySchema = jsonSchema.getPropertySchemas().get(propertyName);
    if (propertySchema == null) {
        throw new IllegalArgumentException(""Unable to parse schema "" + jsonSchema.toString());
    }
    
    Schema.Field field = beamFieldFromJsonField(propertySchema);
    builder = builder.addField(field);
}

return builder.build();
```

```java
static Schema.Field beamFieldFromJsonField(org.everit.json.schema.Schema propertySchema) {
    if (propertySchema instanceof org.everit.json.schema.ObjectSchema) {
        return beamFieldFromJsonField((org.everit.json.schema.ObjectSchema) propertySchema);
    }
    if (propertySchema instanceof org.everit.json.schema.ArraySchema) {
        return beamFieldFromJsonField((org.everit.json.schema.ObjectSchema) propertySchema);
    }
    // etc etc to all the various types.
}

static Schema.Field beamFieldFromJsonField(org.everit.json.schema.ObjectSchema objectSchema) {
   // do some magic
}

static Schema.Field beamFieldFromJsonField(org.everit.json.schema.ArraySchema arraySchema) {
   // do some more magic
}

static Schema.Field beamFieldFromJsonField(org.everit.json.schema.BooleanField booleanSchema) {
  // do even some more magical magic
}
```",1,True
